time,src_ip,dst_ip,protocol,port,packet_size
20:01:26,96.236.139.217,10.246.226.116,17,0,1023
20:01:26,10.246.226.116,142.91.99.90,17,0,215
20:01:26,10.246.226.116,96.236.139.217,17,0,180
20:01:26,10.246.226.116,23.137.254.182,6,26719,54
20:01:26,101.37.36.4,10.246.226.116,17,0,104
20:01:26,10.246.226.116,101.37.36.4,17,0,97
20:01:26,54.249.242.207,10.246.226.116,17,0,175
20:01:26,10.246.226.116,54.249.242.207,17,0,956
20:01:26,78.159.131.66,10.246.226.116,6,54187,54
20:01:27,142.91.99.90,10.246.226.116,17,0,104
20:01:27,54.249.242.207,10.246.226.116,17,0,99
20:01:27,54.249.242.207,10.246.226.116,17,0,1031
20:01:27,10.246.226.116,54.249.242.207,17,0,98
20:01:27,10.246.226.116,54.249.242.207,17,0,202
20:01:27,23.137.254.182,10.246.226.116,6,49900,969
20:01:27,10.246.226.116,23.137.254.182,6,26719,54
20:01:27,54.249.242.207,10.246.226.116,17,0,107
20:01:30,54.249.242.207,10.246.226.116,17,0,822
20:01:30,10.246.226.116,54.249.242.207,17,0,96
20:01:30,77.101.200.179,10.246.226.116,17,0,1138
20:01:30,10.246.226.116,77.101.200.179,17,0,87
20:01:30,10.246.226.116,91.147.247.217,6,20077,1126
20:01:30,10.246.226.116,1.1.1.1,17,0,74
20:01:30,10.246.226.116,1.1.1.1,17,0,74
20:01:30,10.246.226.116,31.57.243.177,17,0,190
20:01:30,77.101.200.179,10.246.226.116,17,0,1147
20:01:30,10.246.226.116,77.101.200.179,17,0,97
20:01:30,1.1.1.1,10.246.226.116,17,0,102
20:01:30,1.1.1.1,10.246.226.116,17,0,90
20:01:33,89.10.177.194,10.246.226.116,6,49992,1176
20:01:33,10.246.226.116,175.252.98.173,6,25116,1117
20:01:33,91.147.247.217,10.246.226.116,6,51100,54
20:01:33,10.246.226.116,91.147.247.217,6,20077,1139
20:01:33,10.246.226.116,89.10.177.194,6,25313,54
20:01:33,10.246.226.116,46.214.68.207,6,30762,66
20:01:33,31.57.243.177,10.246.226.116,1,0,218
20:01:33,175.252.98.173,10.246.226.116,6,65502,54
20:01:33,91.147.247.217,10.246.226.116,6,51100,54
20:01:33,77.101.200.179,10.246.226.116,17,0,1133
20:01:33,10.246.226.116,77.101.200.179,17,0,97
20:01:33,10.246.226.116,91.147.247.217,6,20077,1165
20:01:33,199.195.250.68,10.246.226.116,6,55416,296
20:01:33,10.246.226.116,194.87.218.228,6,24864,66
20:01:33,162.159.130.234,10.246.226.116,6,58189,106
20:01:33,10.246.226.116,199.195.250.68,6,30580,54
20:01:33,10.246.226.116,162.159.130.234,6,443,54
20:01:33,91.147.247.217,10.246.226.116,6,51100,54
20:01:33,23.94.85.185,10.246.226.116,17,0,1135
20:01:33,10.246.226.116,23.94.85.185,17,0,86
20:01:33,10.246.226.116,37.27.65.55,17,0,203
20:01:33,194.87.218.228,10.246.226.116,6,51023,62
20:01:33,10.246.226.116,194.87.218.228,6,24864,54
20:01:33,10.246.226.116,194.87.218.228,6,24864,291
20:01:33,37.27.65.55,10.246.226.116,17,0,113
20:01:36,37.27.65.55,10.246.226.116,17,0,747
20:01:36,10.246.226.116,37.27.65.55,17,0,86
20:01:36,200.112.94.209,10.246.226.116,17,0,1125
20:01:36,10.246.226.116,200.112.94.209,17,0,88
20:01:36,10.246.226.116,111.95.133.11,17,0,1131
20:01:36,200.112.94.209,10.246.226.116,17,0,1125
20:01:36,10.246.226.116,200.112.94.209,17,0,89
20:01:36,111.95.133.11,10.246.226.116,17,0,93
20:01:36,77.101.200.179,10.246.226.116,17,0,1150
20:01:36,10.246.226.116,77.101.200.179,17,0,96
20:01:36,10.246.226.116,91.147.247.217,6,20077,1166
20:01:36,10.246.226.116,96.236.139.217,17,0,82
20:01:36,10.246.226.116,138.229.184.57,17,0,86
20:01:36,10.246.226.116,75.88.155.56,17,0,82
20:01:36,77.101.200.179,10.246.226.116,17,0,1149
20:01:36,10.246.226.116,77.101.200.179,17,0,91
20:01:36,194.87.218.228,10.246.226.116,6,51023,54
20:01:36,194.87.218.228,10.246.226.116,6,51023,139
20:01:39,10.246.226.116,194.87.218.228,6,24864,1354
20:01:39,96.236.139.217,10.246.226.116,17,0,928
20:01:39,10.246.226.116,86.123.15.84,17,0,215
20:01:39,10.246.226.116,96.236.139.217,17,0,171
20:01:39,175.252.98.173,10.246.226.116,6,65502,54
20:01:39,175.252.98.173,10.246.226.116,6,65502,54
20:01:39,175.252.98.173,10.246.226.116,6,65502,54
20:01:39,47.197.171.251,10.246.226.116,17,0,87
20:01:39,141.148.95.205,10.246.226.116,6,58178,54
20:01:39,47.197.171.251,10.246.226.116,17,0,741
20:01:39,10.246.226.116,47.197.171.251,17,0,177
20:01:39,10.246.226.116,47.197.171.251,17,0,96
20:01:39,41.111.165.18,10.246.226.116,17,0,91
20:01:39,77.101.200.179,10.246.226.116,17,0,1141
20:01:39,10.246.226.116,77.101.200.179,17,0,89
20:01:39,10.246.226.116,91.147.247.217,6,20077,1142
20:01:42,194.87.197.122,10.246.226.116,6,56881,1334
20:01:45,194.87.197.122,10.246.226.116,6,56881,930
20:01:45,10.246.226.116,194.87.197.122,6,16145,54
20:01:45,10.246.226.116,60.242.128.114,6,4567,133
20:01:45,10.246.226.116,195.20.18.236,6,24041,163
20:01:45,10.246.226.116,74.37.74.235,6,10514,66
20:01:45,77.101.200.179,10.246.226.116,17,0,1151
20:01:45,86.123.15.84,10.246.226.116,1,0,243
20:01:45,10.246.226.116,77.101.200.179,17,0,89
20:01:45,96.236.139.217,10.246.226.116,17,0,1020
20:01:45,10.246.226.116,62.210.85.80,17,0,213
20:01:45,10.246.226.116,96.236.139.217,17,0,174
20:01:45,172.223.62.141,10.246.226.116,17,0,687
20:01:45,10.246.226.116,172.223.62.141,17,0,100
20:01:45,47.194.54.64,10.246.226.116,6,62097,101
20:01:45,10.246.226.116,47.194.54.64,6,18435,54
20:01:45,47.194.54.64,10.246.226.116,6,62097,54
20:01:45,10.246.226.116,47.194.54.64,6,18435,54
20:01:47,207.49.119.34,10.246.226.116,6,51067,1125
20:01:47,149.154.36.45,10.246.226.116,17,0,1133
20:01:47,10.246.226.116,149.154.36.45,17,0,95
20:01:47,60.242.128.114,10.246.226.116,6,50536,54
20:01:50,5.189.39.233,10.246.226.116,6,50973,1174
